alpha,cutoff,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
0.5,0.05,0.0365086497416311,0.0255189081603639,0.974481091839636,0.963491350258369,0.644202180376611,0.0365086497416311,0.0691011534577154,0.450520833333333
0.25,0.1,0.0806560323522804,0.0517486494171169,0.948251350582883,0.91934396764772,0.66358595194085,0.0806560323522804,0.143830128205128,0.463604417670683
0.15,0.15,0.112727476971467,0.0765567244810918,0.923443275518908,0.887272523028533,0.650778210116732,0.112727476971467,0.192167751819226,0.470569779116466
0.1,0.2,0.145304425971692,0.0929058856980381,0.907094114301962,0.854695574028308,0.664355418592707,0.145304425971692,0.238455157157342,0.481551204819277
0.05,0.25,0.191866996180634,0.13271253909582,0.86728746090418,0.808133003819367,0.646602309293962,0.191866996180634,0.295924113137263,0.489991214859438
0.05,0.3,0.191866996180634,0.13271253909582,0.86728746090418,0.808133003819367,0.646602309293962,0.191866996180634,0.295924113137263,0.489991214859438
0.05,0.35,0.191866996180634,0.13271253909582,0.86728746090418,0.808133003819367,0.646602309293962,0.191866996180634,0.295924113137263,0.489991214859438
0.05,0.4,0.191866996180634,0.13271253909582,0.86728746090418,0.808133003819367,0.646602309293962,0.191866996180634,0.295924113137263,0.489991214859438
0.05,0.45,0.191866996180634,0.13271253909582,0.86728746090418,0.808133003819367,0.646602309293962,0.191866996180634,0.295924113137263,0.489991214859438
0.05,0.5,0.191866996180634,0.13271253909582,0.86728746090418,0.808133003819367,0.646602309293962,0.191866996180634,0.295924113137263,0.489991214859438
