nfeature,imputation,independent,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
700,KNN,TRUE,0,0,1,1,0,0,0,0.441390562248996
2500,ALRA,TRUE,0,0,1,1,0,0,0,0.441390562248996
2700,ALRA,FALSE,0,0,1,1,0,0,0,0.441390562248996
1300,KNN,TRUE,0,0,1,1,0,0,0,0.441390562248996
800,ALRA,FALSE,0,0,1,1,0,0,0,0.441390562248996
800,ALRA,FALSE,0,0,1,1,0,0,0,0.441390562248996
4200,None,FALSE,0,0,1,1,0,0,0,0.441390562248996
4900,None,TRUE,0,0,1,1,0,0,0,0.441390562248996
2700,ALRA,FALSE,0,0,1,1,0,0,0,0.441390562248996
1900,None,FALSE,0,0,1,1,0,0,0,0.441390562248996
3600,None,TRUE,0,0,1,1,0,0,0,0.441390562248996
2600,ALRA,TRUE,0,0,1,1,0,0,0,0.441390562248996
1700,ALRA,TRUE,0,0,1,1,0,0,0,0.441390562248996
3900,None,TRUE,0,0,1,1,0,0,0,0.441390562248996
2500,KNN,TRUE,0,0,1,1,0,0,0,0.441390562248996
1000,None,FALSE,0,0,1,1,0,0,0,0.441390562248996
1800,None,TRUE,0,0,1,1,0,0,0,0.441390562248996
2800,None,TRUE,0,0,1,1,0,0,0,0.441390562248996
500,KNN,TRUE,0,0,1,1,0,0,0,0.441390562248996
3500,KNN,TRUE,0,0,1,1,0,0,0,0.441390562248996
800,KNN,FALSE,0,0,1,1,0,0,0,0.441390562248996
2200,None,TRUE,0,0,1,1,0,0,0,0.441390562248996
800,None,FALSE,0,0,1,1,0,0,0,0.441390562248996
1700,KNN,FALSE,0,0,1,1,0,0,0,0.441390562248996
3000,ALRA,TRUE,0,0,1,1,0,0,0,0.441390562248996
4800,KNN,TRUE,0,0,1,1,0,0,0,0.441390562248996
1500,KNN,FALSE,0,0,1,1,0,0,0,0.441390562248996
1300,None,TRUE,0,0,1,1,0,0,0,0.441390562248996
3400,ALRA,TRUE,0,0,1,1,0,0,0,0.441390562248996
5000,ALRA,FALSE,0,0,1,1,0,0,0,0.441390562248996
4100,None,FALSE,0,0,1,1,0,0,0,0.441390562248996
1200,ALRA,FALSE,0,0,1,1,0,0,0,0.441390562248996
2200,None,TRUE,0,0,1,1,0,0,0,0.441390562248996
2800,ALRA,FALSE,0,0,1,1,0,0,0,0.441390562248996
1300,ALRA,TRUE,0,0,1,1,0,0,0,0.441390562248996
1400,None,FALSE,0,0,1,1,0,0,0,0.441390562248996
1400,KNN,TRUE,0,0,1,1,0,0,0,0.441390562248996
1100,KNN,FALSE,0,0,1,1,0,0,0,0.441390562248996
2000,None,FALSE,0,0,1,1,0,0,0,0.441390562248996
900,None,TRUE,0,0,1,1,0,0,0,0.441390562248996
3900,KNN,FALSE,0,0,1,1,0,0,0,0.441390562248996
4900,None,FALSE,0,0,1,1,0,0,0,0.441390562248996
4600,ALRA,TRUE,0,0,1,1,0,0,0,0.441390562248996
1700,KNN,TRUE,0,0,1,1,0,0,0,0.441390562248996
3900,ALRA,TRUE,0,0,1,1,0,0,0,0.441390562248996
2200,None,FALSE,0,0,1,1,0,0,0,0.441390562248996
2600,KNN,FALSE,0,0,1,1,0,0,0,0.441390562248996
700,None,TRUE,0,0,1,1,0,0,0,0.441390562248996
2100,ALRA,TRUE,0,0,1,1,0,0,0,0.441390562248996
1400,KNN,TRUE,0,0,1,1,0,0,0,0.441390562248996
2000,None,TRUE,0,0,1,1,0,0,0,0.441390562248996
