"",scAB_markers,scPP_markers,scPAS_markers,scissor_markers
1,MGST1,WFDC2,CALML5,MIEN1
2,KRT19,STC2,ORMDL3,ERBB2
3,EPCAM,PLAT,NUDT8,CYBA
4,MPHOSPH6,ZBTB20,CXCL17,NDUFB9
5,SPINT1-AS1,MIEN1,MPHOSPH6,GRB7
6,C3orf14,ERBB2,SQLE,MUCL1
7,CYB5A,CALML5,DUSP6,S100A14
8,TMEM45A,AREG,SMARCE1,ADIRF
9,POLD2,FOSB,SPDEF,KRT18
10,PLPP2,MT1E,GALNT7,S100A16
11,PYCR1,CEBPD,FAM84B,CRIP2
12,DCXR,MIF,GRB7,CPNE3
13,SPTSSA,BTG2,MUCL1,MAL2
14,CCND1,NDUFB9,NME1,LAPTM4B
15,PLGRKT,PSMB3,ETFA,SPDEF
16,LAPTM4B,IFI27,NDUFA6,COMT
17,QPRT,SEC61G,AQP5,POLR2K
18,FAM84B,KRT10,MSMO1,APP
19,AP1M2,S100A9,C3orf14,IFI27
20,MRPL58,JUND,SCD,APLP2
