"",scissor_markers,scAB_markers,scPAS_markers,scPP_markers
1,ASAH1,KRT19,SLC7A2,SH3BGRL
2,ITM2B,MGST1,BRI3,CD164
3,CYBA,KRT18,TPM1,MT1G
4,CTSB,EPCAM,KDM1B,AFF3
5,SH3BGRL,CD24,PSMD3,AGR3
6,SARAF,CYB5A,HSPB1,SARAF
7,PHLDA2,GGCT,ORMDL3,CASD1
8,EVL,TFAP2A,APP,G6PC3
9,SQLE,EFHD1,MSL1,ALDH2
10,MRPL27,C3orf14,HLA-B,S100A6
11,HERPUD1,S100A16,SRGN,GATA3
12,S100A6,HEBP2,MIF,TMEM14B
13,SDCBP,ALDH3B2,KRT8,TFAP2A
14,TXNIP,TSPAN13,HLA-DRA,SSH2
15,ARHGDIB,CLDN7,CD74,SERHL2
16,N4BP2L2,GSTM3,CCT2,TMEM14C
17,BNIP3L,PLGRKT,RPS17,PFN2
18,S100A13,LAPTM4B,ERBB2,ARMT1
19,CAPZA2,DCXR,HLA-C,LONP2
20,CRIP2,SPINT1-AS1,DSTN,RBP1
