"",Log2FC_cutoff,probs,TPR,FPR,TNR,FNR,F1,Accuracy,Precision,P_pos
1,0.75,0.1,0.0025230225810521,0.00938562578601705,0.990614374213983,0.997476977418948,0.00479041916167665,0.836626363904453,0.0472813238770686,0.00831613093482748
2,0.7,0.2,0.0113536016147345,0.0414784107317528,0.958521589268247,0.988646398385266,0.0183710961420698,0.81091123562371,0.0481026189203635,0.0367836429765064
3,0.15,0.65,0.20146335309701,0.472914434766407,0.527085565233593,0.79853664690299,0.107073416024137,0.476339329597955,0.0729123864310825,0.430610439398408
4,0.5,0.25,0.0203103317774694,0.0648842517117705,0.935115748288229,0.979689668222531,0.0296119183373184,0.792548903961467,0.0546318289786223,0.0579376781676988
5,0.9,0.7,0.212690803582692,0.442871116493549,0.557128883506451,0.787309196417308,0.117782667924133,0.503450309643173,0.081441406627379,0.40699891870638
6,0.55,0.15,0.00542449854926202,0.0222646606735293,0.977735339326471,0.994575501450738,0.00963477481514676,0.82620662538091,0.043043043043043,0.0196402241226777
7,0.25,0.4,0.132584836634288,0.449974381666589,0.550025618333411,0.867415163365712,0.0742782430474575,0.48497001867689,0.0515904182210878,0.400511156984174
8,0.7,0.8,0.21357386148606,0.341073175275979,0.658926824724021,0.78642613851394,0.139542550999382,0.589521281824437,0.103623454523197,0.321203184901209
9,0.25,0.6,0.19566040116059,0.500605524244259,0.499394475755741,0.80433959883941,0.100151745068285,0.4520593728497,0.0673001822442072,0.453081686818048
10,0.45,0.7,0.212690803582692,0.442871116493549,0.557128883506451,0.787309196417308,0.117782667924133,0.503450309643173,0.081441406627379,0.40699891870638
11,0.15,0.15,0.00542449854926202,0.0222646606735293,0.977735339326471,0.994575501450738,0.00963477481514676,0.82620662538091,0.043043043043043,0.0196402241226777
12,0.4,0.7,0.212690803582692,0.442871116493549,0.557128883506451,0.787309196417308,0.117782667924133,0.503450309643173,0.081441406627379,0.40699891870638
13,0.35,0.35,0.099659391951558,0.396595090595743,0.603404909404257,0.900340608048442,0.0613687563116601,0.524899243094466,0.0443346989168865,0.350319473115109
14,0.5,0.15,0.00542449854926202,0.0222646606735293,0.977735339326471,0.994575501450738,0.00963477481514676,0.82620662538091,0.043043043043043,0.0196402241226777
15,0.45,0.75,0.21937681342248,0.40556150728958,0.59443849271042,0.78062318657752,0.128434268833087,0.535987417674236,0.0907951756904924,0.376545758380026
16,0.2,0.25,0.0203103317774694,0.0648842517117705,0.935115748288229,0.979689668222531,0.0296119183373184,0.792548903961467,0.0546318289786223,0.0579376781676988
17,0.7,0.4,0.132584836634288,0.449974381666589,0.550025618333411,0.867415163365712,0.0742782430474575,0.48497001867689,0.0515904182210878,0.400511156984174
18,0.85,0.5,0.197300365838274,0.555289021379664,0.444710978620336,0.802699634161726,0.0938381232375352,0.406153543694092,0.0615578383909946,0.49949867295783
19,0.55,0.9,0.177494638577015,0.180329777819181,0.819670222180819,0.822505361422985,0.164783041517831,0.719591074412661,0.153770491803279,0.179887938661162
20,0.35,0.5,0.197300365838274,0.555289021379664,0.444710978620336,0.802699634161726,0.0938381232375352,0.406153543694092,0.0615578383909946,0.49949867295783
21,0.6,0.6,0.19566040116059,0.500605524244259,0.499394475755741,0.80433959883941,0.100151745068285,0.4520593728497,0.0673001822442072,0.453081686818048
22,0.75,0.1,0.00277532483915731,0.00908286366388747,0.990917136336112,0.997224675160843,0.00527641203981293,0.836921262164553,0.0533980582524272,0.00809987221075396
23,0.5,0.5,0.197300365838274,0.555289021379664,0.444710978620336,0.802699634161726,0.0938381232375352,0.406153543694092,0.0615578383909946,0.49949867295783
24,0.65,0.6,0.19566040116059,0.500605524244259,0.499394475755741,0.80433959883941,0.100151745068285,0.4520593728497,0.0673001822442072,0.453081686818048
25,0.35,0.7,0.212690803582692,0.442871116493549,0.557128883506451,0.787309196417308,0.117782667924133,0.503450309643173,0.081441406627379,0.40699891870638
26,0.45,0.85,0.198688028257853,0.267106059900321,0.732893940099679,0.801311971742147,0.150207429307138,0.649641207116878,0.120745170193192,0.256443526983191
27,0.45,0.7,0.212690803582692,0.442871116493549,0.557128883506451,0.787309196417308,0.117782667924133,0.503450309643173,0.081441406627379,0.40699891870638
28,0.5,0.15,0.00542449854926202,0.0222646606735293,0.977735339326471,0.994575501450738,0.00963477481514676,0.82620662538091,0.043043043043043,0.0196402241226777
29,0.35,0.4,0.132584836634288,0.449974381666589,0.550025618333411,0.867415163365712,0.0742782430474575,0.48497001867689,0.0515904182210878,0.400511156984174
30,0.3,0.7,0.212690803582692,0.442871116493549,0.557128883506451,0.787309196417308,0.117782667924133,0.503450309643173,0.081441406627379,0.40699891870638
31,0.1,0.75,0.21937681342248,0.40556150728958,0.59443849271042,0.78062318657752,0.128434268833087,0.535987417674236,0.0907951756904924,0.376545758380026
32,0.25,0.85,0.198688028257853,0.267106059900321,0.732893940099679,0.801311971742147,0.150207429307138,0.649641207116878,0.120745170193192,0.256443526983191
33,0.4,0.55,0.191875867289012,0.52922818948251,0.47077181051749,0.808124132710988,0.0945542707944797,0.427307578885285,0.0627345844504021,0.476653887742062
34,0.6,0.35,0.099659391951558,0.396595090595743,0.603404909404257,0.900340608048442,0.0613687563116601,0.524899243094466,0.0443346989168865,0.350319473115109
35,0.65,0.75,0.21937681342248,0.40556150728958,0.59443849271042,0.78062318657752,0.128434268833087,0.535987417674236,0.0907951756904924,0.376545758380026
36,0.9,0.3,0.0758168285606156,0.341422516186129,0.658577483813871,0.924183171439384,0.0518371571502501,0.567757790229038,0.0393814297883494,0.30002948982601
37,0.05,0.7,0.212690803582692,0.442871116493549,0.557128883506451,0.787309196417308,0.117782667924133,0.503450309643173,0.081441406627379,0.40699891870638
38,0.3,0.35,0.099659391951558,0.396595090595743,0.603404909404257,0.900340608048442,0.0613687563116601,0.524899243094466,0.0443346989168865,0.350319473115109
39,0.75,0.5,0.197300365838274,0.555289021379664,0.444710978620336,0.802699634161726,0.0938381232375352,0.406153543694092,0.0615578383909946,0.49949867295783
40,0.45,0.25,0.0203103317774694,0.0648842517117705,0.935115748288229,0.979689668222531,0.0296119183373184,0.792548903961467,0.0546318289786223,0.0579376781676988
41,0.75,0.3,0.0758168285606156,0.341422516186129,0.658577483813871,0.924183171439384,0.0518371571502501,0.567757790229038,0.0393814297883494,0.30002948982601
42,0.8,0.8,0.21357386148606,0.341073175275979,0.658926824724021,0.78642613851394,0.139542550999382,0.589521281824437,0.103623454523197,0.321203184901209
43,0.3,0.55,0.191875867289012,0.52922818948251,0.47077181051749,0.808124132710988,0.0945542707944797,0.427307578885285,0.0627345844504021,0.476653887742062
44,0.55,0.2,0.0113536016147345,0.0414784107317528,0.958521589268247,0.988646398385266,0.0183710961420698,0.81091123562371,0.0481026189203635,0.0367836429765064
45,0.4,0.6,0.19566040116059,0.500605524244259,0.499394475755741,0.80433959883941,0.100151745068285,0.4520593728497,0.0673001822442072,0.453081686818048
46,0.35,0.7,0.212690803582692,0.442871116493549,0.557128883506451,0.787309196417308,0.117782667924133,0.503450309643173,0.081441406627379,0.40699891870638
47,0.8,0.35,0.099659391951558,0.396595090595743,0.603404909404257,0.900340608048442,0.0613687563116601,0.524899243094466,0.0443346989168865,0.350319473115109
48,0.85,0.45,0.164753374542702,0.503982486375705,0.496017513624295,0.835246625457298,0.0846046707479027,0.444392018087093,0.0569162381242918,0.451115698417379
49,0.9,0.35,0.099659391951558,0.396595090595743,0.603404909404257,0.900340608048442,0.0613687563116601,0.524899243094466,0.0443346989168865,0.350319473115109
50,0.85,0.1,0.00277532483915731,0.00908286366388747,0.990917136336112,0.997224675160843,0.00527641203981293,0.836921262164553,0.0533980582524272,0.00809987221075396
51,0.585,0.2,0.0113536016147345,0.0414784107317528,0.958521589268247,0.988646398385266,0.0183710961420698,0.81091123562371,0.0481026189203635,0.0367836429765064
