"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,3.76778649581598,0.473,0.095,0,Other,CD2
2,0,3.68322393702685,0.449,0.092,0,Other,TRAC
3,0,-3.64444680617977,0.031,0.384,0,Other,AKR1C2
4,0,-3.2948279883573,0.025,0.295,0,Other,KLK11
5,0,-3.24179324938063,0.041,0.473,0,Other,FAM3B
6,0,-3.21149890065597,0.029,0.294,0,Other,AKR1C1
7,0,-3.0195501319537,0.034,0.306,0,Other,KCNK1
8,0,-3.01166798868502,0.031,0.267,0,Other,MSLN
9,0,3.00684058640209,0.547,0.265,0,Other,CD69
10,0,-2.91664135583618,0.041,0.351,0,Other,CLDN3
11,0,-2.85979887934213,0.033,0.274,0,Other,GPD1
12,0,-2.82845829307157,0.043,0.331,0,Other,PCOLCE2
13,0,-2.79858718279079,0.032,0.252,0,Other,PCSK1N
14,0,-2.78400577448548,0.068,0.43,0,Other,NQO1
15,0,-2.77427371301588,0.04,0.342,0,Other,S100P
16,0,-2.77355952582003,0.065,0.524,0,Other,CPE
17,0,-2.77338961810014,0.034,0.276,0,Other,MYO10
18,0,-2.7400640067522,0.033,0.264,0,Other,SLC22A31
19,0,-2.71962356089935,0.041,0.324,0,Other,SFN
20,0,-2.71116867163248,0.056,0.306,0,Other,PGC
21,0,-3.76778649581598,0.095,0.473,0,Positive,CD2
22,0,-3.68322393702685,0.092,0.449,0,Positive,TRAC
23,0,3.64444680617977,0.384,0.031,0,Positive,AKR1C2
24,0,3.2948279883573,0.295,0.025,0,Positive,KLK11
25,0,3.24179324938063,0.473,0.041,0,Positive,FAM3B
26,0,3.21149890065597,0.294,0.029,0,Positive,AKR1C1
27,0,3.0195501319537,0.306,0.034,0,Positive,KCNK1
28,0,3.01166798868502,0.267,0.031,0,Positive,MSLN
29,0,-3.00684058640209,0.265,0.547,0,Positive,CD69
30,0,2.91664135583618,0.351,0.041,0,Positive,CLDN3
31,0,2.85979887934213,0.274,0.033,0,Positive,GPD1
32,0,2.82845829307157,0.331,0.043,0,Positive,PCOLCE2
33,0,2.79858718279079,0.252,0.032,0,Positive,PCSK1N
34,0,2.78400577448548,0.43,0.068,0,Positive,NQO1
35,0,2.77427371301588,0.342,0.04,0,Positive,S100P
36,0,2.77355952582003,0.524,0.065,0,Positive,CPE
37,0,2.77338961810014,0.276,0.034,0,Positive,MYO10
38,0,2.7400640067522,0.264,0.033,0,Positive,SLC22A31
39,0,2.71962356089935,0.324,0.041,0,Positive,SFN
40,0,2.71116867163248,0.306,0.056,0,Positive,PGC
